"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1104,"DIV SPMAK ","Lizz","1,920h Playtime ","3,347 Matches ","546","487","1560","139.8","21.4%","51.7%","1,729","52,484","50,213","21,911","{1.48}","{0.7}","{896}","{Skye}","{""526 hours""}","{929}","52.7%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
1105,"andrew ","637","1,390h Playtime ","2,559 Matches ","546","306","1232","159.4","34.5%","51.2%","1,310","46,917","42,107","9,000","{1.33}","{0.9}","{424}","{Jett}","{""491 hours""}","{910}","53.1%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
1106,"zerona ","711","3,376h Playtime ","6,101 Matches ","546","592","2945","150.2","26.1%","50.6%","3,089","104,623","97,149","27,875","{1.36}","{0.8}","{""1,357""}","{Jett}","{""827 hours""}","{""1,504""}","50.0%","{1.10}","Vandal","43%","Phantom","34%","Sunset","53.3%"
1107,"100T eeiu ","1da","1,796h Playtime ","3,294 Matches ","546","483","1478","164.2","31.4%","54.0%","1,780","63,052","52,717","16,641","{1.51}","{0.9}","{647}","{Sova}","{""507 hours""}","{939}","55.8%","{1.21}","Vandal","45%","Phantom","38%","Lotus","58.6%"
1108,"monkeyman3333333 ","lolz","809h Playtime ","1,444 Matches ","560","238","663","146.3","21.3%","52.6%","759","22,778","21,808","7,195","{1.37}","{0.8}","{341}","{Jett}","{""122 hours""}","{220}","55.9%","{1.18}","Vandal","31%","Sheriff","47%","Sunset","60.2%"
1109,"AG delb ","1009","1,416h Playtime ","2,585 Matches ","545","535","1127","156.7","30.3%","55.6%","1,436","47,928","39,837","10,105","{1.46}","{0.9}","{585}","{Jett}","{""409 hours""}","{745}","54.8%","{1.24}","Vandal","46%","Phantom","37%","Lotus","59.6%"
1110,"FOKUS Kuba ","booty","3,459h Playtime ","6,112 Matches ","545","679","3016","155.3","27.2%","49.6%","3,033","110,397","93,919","29,516","{1.49}","{0.8}","{""1,547""}","{Reyna}","{""1,331 hours""}","{""2,367""}","51.1%","{1.25}","Vandal","37%","Phantom","32%","Pearl","53.6%"
1111,"TyzerStorm ","RaGe","1,015h Playtime ","1,792 Matches ","545","188","852","144.7","31.2%","51.5%","923","29,293","25,697","8,936","{1.49}","{0.8}","{576}","{Sage}","{""193 hours""}","{333}","54.4%","{1.16}","Vandal","43%","Phantom","39%","Pearl","56.7%"
1112,"catlover61 ","aziz","1,341h Playtime ","2,395 Matches ","513","500","1141","145.6","29.2%","51.4%","1,230","38,969","36,070","11,563","{1.40}","{0.8}","{619}","{Sage}","{""286 hours""}","{511}","56.8%","{1.07}","Vandal","42%","Sheriff","59%","Bind","55.9%"
1113,"NeveR ","Alone","2,321h Playtime ","3,947 Matches ","545","877","1907","132.3","26.4%","50.1%","1,976","59,241","55,817","22,185","{1.46}","{0.7}","{""1,340""}","{Omen}","{""548 hours""}","{929}","50.9%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
1114,"ACE tomix ","iwnl","1,779h Playtime ","3,195 Matches ","545","484","1512","154.2","30.5%","51.6%","1,650","56,142","52,031","12,367","{1.32}","{0.8}","{548}","{Jett}","{""651 hours""}","{""1,184""}","55.0%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
1115,"zamy ","115","2,280h Playtime ","4,141 Matches ","545","554","2014","147.9","30.2%","50.3%","2,082","69,829","64,545","17,604","{1.35}","{0.8}","{835}","{Reyna}","{""582 hours""}","{""1,051""}","53.6%","{1.17}","Vandal","46%","Operator","10%","Pearl","58.3%"
1116,"Razziss ","kiddo","2,244h Playtime ","3,982 Matches ","545","544","1971","138.7","28.1%","49.6%","1,976","63,704","60,897","14,344","{1.28}","{0.8}","{""1,008""}","{Jett}","{""1,205 hours""}","{""2,141""}","50.1%","{1.09}","Vandal","47%","Operator","9%","Lotus","52.0%"
1117,"crazymd ","k1ng","509h Playtime ","906 Matches ","545","128","394","163.7","26.8%","54.5%","494","17,052","14,244","3,763","{1.46}","{0.9}","{193}","{Jett}","{""228 hours""}","{407}","58.2%","{1.31}",NULL,NULL,NULL,NULL,NULL,NULL
